"","StationID","Latitude","Longitude","Sta_Desc","US_L3CODE","US_L3NAME","US_L4CODE","US_L4NAME","VAHU6","ASSESS_REG","OFFICE_NM","VaName","Tidal","VAHUSB","FedName","HUC10","Basin","BASIN_CODE","Basin_Code","CountyCityName","FIPS"
"1","02066600",36.84305556,-78.64166667,"Sandy Creek near Wylliesburg, Va.","45","Piedmont","45c","Carolina Slate Belt","RU87","BRRO","Blue Ridge","Roanoke River-John H Kerr Reservoir-Buffalo Creek","N","RU","Sandy Creek-Roanoke River","0301010206","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"2","02067000",36.83805556,-78.66722222,"Roanoke (Staunton) River Near Clover, Va","45","Piedmont","45c","Carolina Slate Belt","RU87","BRRO","Blue Ridge","Roanoke River-John H Kerr Reservoir-Buffalo Creek","N","RU","Sandy Creek-Roanoke River","0301010206","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"3","02079000",36.62777778,-78.55111111,"Roanoke (Staunton) River At Clarksville,","45","Piedmont","45c","Carolina Slate Belt","RD77","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Buffalo Creek","N","RD","Buffalo Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Halifax","083"
"4","02079640",36.67977778,-78.32647222,"Allen Creek Near Boydton, Va","45","Piedmont","45c","Carolina Slate Belt","RL11","BRRO","Blue Ridge","Allen Creek-Cox Creek","N","RL","Cox Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"5","02079660",36.67722222,-78.38694444,"Jolly Hollow Branch At Boydton, Va","45","Piedmont","45c","Carolina Slate Belt","RL11","BRRO","Blue Ridge","Allen Creek-Cox Creek","N","RL","Cox Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"6","4AAAR004.72",36.62833333,-78.71,"RT. 601 BRIDGE MECKLENBURG/HALIFAX CO","45","Piedmont","45c","Carolina Slate Belt","RD75","BRRO","Blue Ridge","Aarons Creek-John H Kerr Reservoir","N","RD","Aarons Creek-John H Kerr Reservoir","0301010407","Roanoke River Basin","4A","Roanoke","Halifax","083"
"7","4AAAR006.20",36.61083333,-78.71111111,"Aarons Creek @ Rt. 602","45","Piedmont","45c","Carolina Slate Belt","RD75","BRRO","Blue Ridge","Aarons Creek-John H Kerr Reservoir","N","RD","Aarons Creek-John H Kerr Reservoir","0301010407","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"8","4AACC007.62",37.03722222,-78.49388889,"Bio-50yds below Keysville STP outfall","45","Piedmont","45c","Carolina Slate Belt","RU82","BRRO","Blue Ridge","Roanoke Creek-Ash Camp Creek","N","RU","Ash Camp Creek-Roanoke Creek","0301010205","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"9","4AALN010.49",36.67972222,-78.32722222,"ALLEN CREEK, RT. 58 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RL11","BRRO","Blue Ridge","Allen Creek-Cox Creek","N","RL","Cox Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"10","4AALN012.88",36.69444444,-78.34111111,"ALLEN CREEK, RT. 677 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RL10","BRRO","Blue Ridge","Allen Creek-Layton Creek","N","RL","Layton Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"11","4AALN016.38",36.70666667,-78.36916667,"ALLEN CREEK, RT. 660 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RL10","BRRO","Blue Ridge","Allen Creek-Layton Creek","N","RL","Layton Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"12","4AALN020.60",36.74824444,-78.37723889,"ALLEN CREEK, RT. 671 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RL10","BRRO","Blue Ridge","Allen Creek-Layton Creek","N","RL","Layton Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
